run_id,run_type,experiment,method,query_ident,split,inference_time,planning_time,execution_time,total_time,timed_out
0,regular,base_query_split_1,Bao,02d,test,0.0,151.56,591.492,743.0519999999999,False
1,regular,base_query_split_1,Bao,02d,test,0.0,225.24,530.694,755.934,False
2,regular,base_query_split_1,Bao,02d,test,0.0,209.129,504.015,713.144,False
0,regular,base_query_split_1,Bao,03a,train,0.0,147.651,127.557,275.208,False
1,regular,base_query_split_1,Bao,03a,train,0.0,219.355,120.828,340.183,False
2,regular,base_query_split_1,Bao,03a,train,0.0,218.844,259.309,478.153,False
0,regular,base_query_split_1,Bao,03b,train,0.0,145.394,83.482,228.876,False
1,regular,base_query_split_1,Bao,03b,train,0.0,224.503,71.737,296.24,False
2,regular,base_query_split_1,Bao,03b,train,0.0,215.06,242.888,457.948,False
0,regular,base_query_split_1,Bao,03c,train,0.0,144.759,235.53,380.289,False
1,regular,base_query_split_1,Bao,03c,train,0.0,223.462,223.042,446.504,False
2,regular,base_query_split_1,Bao,03c,train,0.0,231.202,303.351,534.553,False
0,regular,base_query_split_1,Bao,04a,train,0.0,146.671,86.433,233.10399999999998,False
1,regular,base_query_split_1,Bao,04a,train,0.0,217.178,82.609,299.787,False
2,regular,base_query_split_1,Bao,04a,train,0.0,213.062,604.695,817.7570000000001,False
0,regular,base_query_split_1,Bao,04b,train,0.0,147.615,72.686,220.30100000000002,False
1,regular,base_query_split_1,Bao,04b,train,0.0,227.894,65.144,293.038,False
2,regular,base_query_split_1,Bao,04b,train,0.0,214.842,64.528,279.37,False
0,regular,base_query_split_1,Bao,04c,train,0.0,144.483,95.924,240.407,False
1,regular,base_query_split_1,Bao,04c,train,0.0,219.012,92.059,311.071,False
2,regular,base_query_split_1,Bao,04c,train,0.0,216.246,936.126,1152.372,False
0,regular,base_query_split_1,Bao,05a,train,0.0,153.64,157.366,311.006,False
1,regular,base_query_split_1,Bao,05a,train,0.0,246.295,118.954,365.24899999999997,False
2,regular,base_query_split_1,Bao,05a,train,0.0,211.165,141.852,353.017,False
0,regular,base_query_split_1,Bao,05b,train,0.0,149.782,174.459,324.241,False
1,regular,base_query_split_1,Bao,05b,train,0.0,270.041,112.814,382.855,False
2,regular,base_query_split_1,Bao,05b,train,0.0,212.698,128.405,341.103,False
0,regular,base_query_split_1,Bao,05c,train,0.0,148.673,209.186,357.85900000000004,False
1,regular,base_query_split_1,Bao,05c,train,0.0,247.413,151.546,398.959,False
2,regular,base_query_split_1,Bao,05c,train,0.0,216.234,160.492,376.726,False
0,regular,base_query_split_1,Bao,06a,train,0.0,150.541,21.096,171.637,False
1,regular,base_query_split_1,Bao,06a,train,0.0,228.038,18.217,246.255,False
2,regular,base_query_split_1,Bao,06a,train,0.0,210.087,17.567,227.654,False
0,regular,base_query_split_1,Bao,06b,train,0.0,161.102,171.175,332.27700000000004,False
1,regular,base_query_split_1,Bao,06b,train,0.0,225.014,153.057,378.071,False
2,regular,base_query_split_1,Bao,06b,train,0.0,215.701,219.217,434.918,False
0,regular,base_query_split_1,Bao,06c,train,0.0,146.168,11.018,157.186,False
1,regular,base_query_split_1,Bao,06c,train,0.0,223.035,11.259,234.29399999999998,False
2,regular,base_query_split_1,Bao,06c,train,0.0,212.512,10.063,222.575,False
0,regular,base_query_split_1,Bao,06d,train,0.0,155.427,3033.763,3189.19,False
1,regular,base_query_split_1,Bao,06d,train,0.0,231.23,1669.106,1900.336,False
2,regular,base_query_split_1,Bao,06d,train,0.0,216.655,1664.831,1881.4859999999999,False
0,regular,base_query_split_1,Bao,06e,train,0.0,157.458,21.348,178.80599999999998,False
1,regular,base_query_split_1,Bao,06e,train,0.0,226.665,19.75,246.415,False
2,regular,base_query_split_1,Bao,06e,train,0.0,212.973,17.49,230.46300000000002,False
0,regular,base_query_split_1,Bao,06f,train,0.0,165.328,4288.13,4453.4580000000005,False
1,regular,base_query_split_1,Bao,06f,train,0.0,234.303,2550.991,2785.294,False
2,regular,base_query_split_1,Bao,06f,train,0.0,219.831,2455.06,2674.891,False
0,regular,base_query_split_1,Bao,07a,test,0.0,163.852,103.832,267.68399999999997,False
1,regular,base_query_split_1,Bao,07a,test,0.0,239.006,801.313,1040.319,False
2,regular,base_query_split_1,Bao,07a,test,0.0,224.065,786.594,1010.6590000000001,False
0,regular,base_query_split_1,Bao,07b,test,0.0,188.241,3597.875,3786.116,False
1,regular,base_query_split_1,Bao,07b,test,0.0,243.776,158.114,401.89,False
2,regular,base_query_split_1,Bao,07b,test,0.0,221.87,147.251,369.121,False
0,regular,base_query_split_1,Bao,07c,test,0.0,165.526,3089.687,3255.2129999999997,False
